origin;destination
671;10880
11657;14436
5727;7752
5892;7108
8111;5084
4738;3972
14964;15165
12680;8988
6603;11323
3197;4358
10679;27
10071;12120
7786;10155
483;9613
14157;12607
12561;12240
3287;6485
6744;11671
10436;12010
12133;12999
5316;2853
10249;5915
15108;2597
1686;6343
2428;8791
3481;9467
3878;3056
7969;6520
4039;2744
12194;25
13306;2136
694;9724
7564;1170
14010;9528
2276;4223
5022;839
1559;7068
7299;11213
9268;10124
15086;565
5853;12603
9044;6646
7947;8881
14975;6221
364;8441
7355;3343
6655;5300
11174;12778
14095;6774
14772;854
1456;2973
15284;4249
12718;4169
10203;14717
10348;119
3429;1953
10340;14784
6909;9913
2821;12223
13453;8997
3628;2000
9887;3590
9433;4144
8987;10289
12278;5168
10022;13364
13215;8187
6816;3866
14307;5883
4430;9987
5804;14316
8483;3036
9366;1517
3162;6645
8492;15214
709;14143
10102;9636
14637;7353
5178;11371
6996;8691
9789;4665
14821;6666
4128;11929
128;2982
1125;1924
14253;7459
4172;3374
11214;4885
1448;5342
7541;7517
4264;11586
67;14376
3201;10857
5251;5355
5642;10802
8929;6918
7483;11238
711;9502
2228;12214
10431;527
10892;11963
8546;7081
3367;12980
3964;3161
2391;873
1105;7315
13616;11816
2491;5468
10931;5821
3292;3394
5154;11332
7336;635
14102;11613
3831;9124
10888;6108
3503;6890
13915;9140
11995;11603
5051;7835
10638;6091
775;9024
434;10609
7165;3258
4628;14606
1665;4924
1114;12778
11433;13804
1444;402
4166;10468
7491;5322
15307;5102
2345;6753
2939;10285
10394;4313
7194;5724
6596;7719
11063;12406
5649;6188
9705;11876
12267;2932
4245;1294
10509;13715
14423;9680
12927;9660
14658;3904
10531;10345
9253;3141
13303;11218
2583;5757
8815;2177
5819;3901
9459;14457
4893;6525
8238;6162
2867;479
3446;2531
7817;13772
2087;13961
8700;14913
6658;13258
5522;10252
1679;12370
1893;9008
1304;6340
10809;15165
14710;3007
2254;12095
14331;9962
15221;12208
1994;2613
9771;6571
4052;471
10269;6863
4805;8068
5315;3549
11847;10045
12716;3571
526;7758
1803;4588
13712;13668
7348;2340
12847;543
9145;551
13125;2615
11481;6635
8472;2464
13665;5482
14131;476
12975;11852
2125;5294
3090;13612
8926;750
9839;5082
11973;3002
589;8251
6753;5673
5650;1992
10532;4481
6086;14177
11419;13805
11739;843
12323;9165
154;12410
4829;11311
4481;12845
6758;959
13162;871
3730;7971
3727;15282
7345;4817
1714;6812
8803;10949
734;1608
8389;3071
1738;5344
11285;7022
10276;4029
13732;10079
6871;4672
4498;4179
11150;12390
14871;1159
13120;7425
2526;12146
12777;15245
1931;9714
3033;2028
4398;5919
9225;12588
11533;2974
2514;3580
8287;3005
301;7118
7669;9062
8013;5234
1732;3018
3339;11602
1356;1059
61;11714
7372;14238
12273;13458
10836;83
9769;6441
8564;11261
2423;12142
12033;13897
2753;12257
10052;8998
4756;11783
3523;7323
6848;662
14986;3482
5324;6716
8274;13400
10933;12858
3535;2716
2431;6642
11818;7022
13256;2314
5089;3817
11094;10169
435;6779
3275;3151
11824;1597
8602;11372
9552;13814
11910;8916
17;3121
9053;2893
1859;13631
9907;4691
10676;5624
2222;6095
1624;842
7358;12294
13086;467
7379;12187
1119;14797
9453;12697
8040;3681
14684;7613
6470;6084
246;10779
1419;5293
2203;8873
3496;15313
4375;12293
573;9381
4744;1553
1420;13728
2413;3913
10808;12123
9081;4181
1002;5456
11417;3993
7916;610
12545;7896
224;747
9219;9812
8244;15244
10919;12640
2418;31
11907;5992
4771;11809
7873;14247
9425;7783
13030;3275
4258;12762
3007;17
10605;15148
2208;3769
5757;12106
1880;2196
14677;12016
6292;1713
9161;562
13785;6343
1970;6920
6004;4419
9816;5106
990;13645
5829;8431
3410;12678
5668;9512
14585;5784
14204;4135
2133;13760
8482;13096
2485;3017
8207;14344
4464;13717
5960;11346
12363;8233
10482;635
8109;8913
10687;12142
4588;4546
6567;668
3166;10231
9684;2646
6503;12337
9519;4920
11851;7567
2375;6336
10126;1911
7674;314
13951;76
11108;10009
768;9485
6733;5609
4654;4565
1675;6099
13733;10222
11480;9916
881;5010
11571;12324
5501;9884
12106;1179
1516;4280
7288;1114
7679;11344
11485;5854
11483;6828
2175;438
13378;3825
5746;6488
6513;3551
3418;9893
12966;4597
2685;447
3912;7463
8394;7378
1400;4129
3337;12268
5055;10379
4326;11258
12407;10925
4433;4905
12487;11419
4981;9690
4384;6616
12005;11796
14034;15007
2300;12565
13435;8341
2650;4164
7498;2582
6587;9941
