origin;destination
273972;204227
8300;18185
338993;186928
302200;323001
166689;257651
241731;76820
64674;124569
13821;124426
62724;41357
173031;124952
316362;307225
189653;206407
141095;98044
214314;118610
129345;119074
101470;38920
263217;292452
111995;273826
321153;262406
65115;95061
239020;294682
25260;119860
325024;153729
125931;220878
211966;246167
200876;281115
119513;311889
310352;210284
157234;47973
219852;64551
251714;332267
102248;178507
140464;243215
77693;28433
65558;142703
11830;137254
7872;295202
33807;300387
129196;354117
121049;128520
93194;164021
291635;115380
27452;291701
294994;278561
150551;112047
277945;235191
80480;231589
310849;136416
29456;213943
346322;116559
100176;355884
37223;220727
83005;295562
175374;231310
7332;310043
271845;57702
32710;330313
326366;177803
71957;256487
254267;337694
120949;45821
27473;143925
305083;21686
61257;23050
96433;162948
241882;271819
291983;149633
261840;70934
245379;175195
76040;240009
231274;80612
130289;263466
210196;256852
218187;299142
102723;7554
125163;239865
139243;160001
12341;100084
186291;115663
125344;179775
273203;160461
203445;280218
244340;263947
341904;118735
184242;213267
31517;110368
98780;228547
15323;349451
115346;180395
245148;25514
143846;88182
329282;55681
239707;63934
13891;276728
6697;185305
6950;248070
283830;69610
309956;215539
56221;269271
162951;255793
17963;112871
51501;18777
343132;356155
342405;153968
31906;95213
36016;243412
141214;57317
65441;234764
12708;78329
298013;199860
315899;204060
194171;255661
309530;47621
188645;277998
272236;307536
8021;79363
63884;172558
338456;196119
93769;128792
234894;143363
356131;233139
230375;139290
122571;225552
40615;102281
217319;251389
143970;40721
6475;306889
118912;215116
266240;335707
248826;123800
41920;49306
334874;346244
166391;358515
277439;159612
336771;312688
173526;265430
171701;92077
355297;160812
166734;166021
104499;250771
17538;333144
498;222327
68151;12713
238164;145239
222278;154265
70369;271715
146169;59057
173303;83004
23179;166020
191296;123695
126379;202339
573;294024
4600;74755
20094;286409
207365;1986
260391;285658
64022;165879
18349;347488
285729;224917
164566;158436
174094;205114
219324;128418
14583;1602
87818;240637
284200;72837
301373;153984
241887;278697
242083;32810
117964;14160
331039;225371
82130;90814
70626;42903
144836;195803
75507;161491
25896;106025
82216;221109
267511;124310
247274;106912
286554;130491
185845;213154
77870;114227
42644;203878
340993;238947
50089;43267
56082;11489
326178;285001
110996;17314
56581;357671
329003;233495
22372;166290
280620;254625
313513;303605
217185;268097
8779;286011
243139;83896
36822;106635
164669;299520
75431;310711
176623;61877
303149;73886
41064;337716
51881;283092
261803;254438
53230;177960
279082;198472
12449;323356
79437;16068
109625;343768
327788;164713
235263;96638
4432;204071
335;6204
74230;251299
324117;178981
19403;253233
246737;134995
185968;336324
99475;235413
146743;257941
52734;303527
5603;276793
223944;157770
303724;92337
9976;34192
29880;347425
172519;117431
292451;186807
287039;7224
258871;176846
243390;135800
270900;218779
146420;69842
171401;284070
249024;26294
151512;76932
304470;217048
12405;104738
248635;27649
128103;157153
25479;54340
35621;27436
34529;132745
28442;357073
323206;96392
63458;78353
184323;168346
358730;158520
91957;285918
120467;23749
31440;274808
104558;169631
27732;98519
29248;251044
57049;50471
169248;68103
143492;337640
150932;72132
26447;339232
168535;52075
218884;137392
351701;91306
158658;325199
153517;349622
101366;323699
195438;195997
88675;228995
159002;156684
86298;310161
208037;315440
52802;266304
312757;237152
198289;293400
220452;298970
140240;129894
191929;119251
77914;170149
199602;167753
295900;181091
23933;132375
117783;135868
3578;4843
44825;34135
287226;206911
148359;202777
328194;59788
183254;81003
229192;243880
237836;4010
37748;333889
119491;95010
191072;184128
80614;185280
296280;259653
189426;314350
290075;34327
109814;189710
157399;71040
230034;212118
253808;252997
117499;319250
352825;106004
299317;9993
277368;310542
256087;115077
319398;86575
113226;114221
327212;350767
291978;113701
1127;41971
153507;275861
253029;220229
264820;48095
160549;151085
49775;233178
244634;2171
34454;62035
190504;111671
233343;263366
274917;139120
312529;50969
98905;328602
251588;195588
229566;52217
137125;256639
104576;226685
154895;222732
139133;31652
314738;19857
22597;333862
315983;58339
283418;299897
148025;66138
4209;26792
104405;16643
12463;160693
260762;40900
242477;2055
58899;328069
277417;47444
252352;336510
225848;158567
354658;245319
357902;128077
305394;189091
303987;171056
225619;211262
126776;350256
55381;114399
70583;87018
349230;208947
238870;144743
256705;281435
164098;206312
212377;306498
74806;175435
30700;338079
160563;122683
58329;261509
308231;319765
230124;26238
69192;162287
211991;19490
129496;21158
67064;220423
242656;188607
70872;119686
72726;257614
50215;272311
204601;164105
156483;36755
129681;249727
262127;75299
109170;20012
142430;313629
318903;129796
211495;157175
357064;345570
334095;67695
44566;191582
280069;141636
148380;18839
90590;199326
311709;109797
68511;282180
180202;207408
140273;31599
63131;131175
129644;113643
258578;16839
291534;29135
235645;290306
160899;280542
287123;322716
199004;20353
142547;147766
249753;277764
143818;123416
316130;322204
267595;191538
324039;234201
