origin;destination
37599;76559
128082;107620
73466;101410
135958;70083
62424;135867
120527;54125
121256;89043
35593;75939
131484;88698
21014;99410
27818;69740
39558;77111
24548;69608
138904;45895
140421;152198
66883;88294
30247;139459
109453;60127
109394;60276
44152;103172
39587;60822
76687;12991
123173;52470
75718;74764
127236;146866
103576;110559
97926;119572
153516;98517
136439;128044
88859;73009
98192;71085
72057;114916
71418;107330
59455;108573
89571;60632
134273;156062
75098;30835
100146;126701
97606;74608
90079;77154
53437;128498
147368;107878
49155;152872
136936;66091
86018;130177
128945;78906
82833;138587
115097;111887
87542;73525
46037;110604
117378;33776
48306;134664
35973;134934
78328;76217
73783;153082
102187;79117
75603;32932
116538;110507
24830;129143
13959;76835
68103;60253
128953;60285
137010;32854
127264;155447
33329;65166
42419;90371
74793;100546
4585;32921
156913;99679
149499;107717
103374;101153
86271;64554
99762;25191
860;32293
51139;99581
84532;153118
73053;54169
145968;24890
128739;77115
68482;132789
150054;75913
88421;72180
36066;4623
60392;77081
25066;75232
6918;146728
138654;71455
34810;109637
146866;92526
51716;134756
85871;95977
19903;78256
146484;75818
153656;32725
32725;35225
121138;76464
111224;45725
109093;90302
101525;133931
156991;70177
108664;80789
63923;54193
51676;85663
155222;101362
131051;99343
5110;88288
117354;99390
94910;99415
71662;78948
48367;133978
42923;69455
79227;155391
13065;107337
107938;73028
106673;53850
121778;88832
120755;108072
156636;98610
31497;133164
11668;60174
135660;96212
22427;111373
84985;133568
41726;107175
38953;130430
85699;151951
72290;147725
50545;133900
99768;44078
33952;110909
105934;34847
132014;98486
36462;123535
63249;59519
128887;34166
111474;154611
120977;78288
46769;103059
96192;87197
45339;69769
154780;32285
6473;140577
48234;151973
147162;112548
122831;154813
128081;110875
121383;107640
118439;65096
68097;204
36686;51554
124119;99400
128396;107096
89138;76099
117466;110517
137007;68751
26141;139696
74241;139366
98661;50631
30636;65927
55978;152229
104763;110768
79177;93611
43338;76504
59289;107197
44299;142080
97851;126691
97431;14650
93470;32835
70940;143566
59138;70349
134730;82870
112992;138817
67797;69620
51137;32292
40516;33004
12307;115406
29076;146399
15324;103027
1733;97712
41212;32911
3904;114018
129492;107642
100139;85893
86094;77808
148479;149137
5766;111874
54251;85932
8000;101358
107798;144964
17337;133697
31451;133978
105024;138129
32112;134619
152125;61657
82085;97590
76643;96800
72630;132098
9394;142131
61480;70303
127913;156092
70799;87886
126130;47847
55458;131412
83888;99463
61646;97627
74074;139124
58207;73419
13254;3578
24959;133954
126616;72612
31684;69613
53134;64575
106811;67284
131601;59395
50558;153400
143369;109642
42131;76098
125685;97595
41695;88591
142418;99285
1009;88827
75868;130553
22039;68204
105722;88182
57986;31002
67803;107623
64471;60302
3531;55409
64587;99022
13585;107011
116243;98645
5312;99587
50398;135491
123207;141996
16179;111074
134676;59860
28406;76217
55072;145742
60036;149667
82641;67148
41922;145562
43728;106983
20338;125153
85435;50534
139125;29437
66453;97434
77838;69442
48370;60067
142335;63997
157089;70364
72200;75921
310;78613
510;130390
125224;114738
3495;32526
42142;107424
88262;146418
71881;60824
78986;146800
51320;83772
43378;32353
65824;135684
119714;70457
63667;68858
54835;92854
156260;76548
130095;134926
66895;51551
16520;106924
52938;70087
154542;32675
129111;77009
100191;36510
2846;149202
18076;76793
3806;65865
84524;106833
147790;99667
20494;99359
144949;55425
136789;75771
130421;103026
126971;74517
134232;60283
126762;72642
9224;99441
47094;110913
153735;88426
154797;110770
27859;99422
138192;90272
119561;75542
33607;69622
142690;74792
88508;115461
10916;64141
121248;48110
49285;56503
20256;76817
53681;135990
84712;121054
25971;108275
140355;54705
32390;77101
112420;75852
91797;83712
73024;130450
122210;102456
103197;53202
129588;79120
81883;87931
133707;55608
90883;69453
68171;70481
65111;115116
36689;107496
77864;83009
55891;111895
58673;107724
23102;77962
153696;88609
46068;135281
26044;59417
45099;107951
58783;118153
119073;130372
15134;76195
54516;138928
29416;76381
100168;132215
112024;110511
66277;14165
14818;70150
90735;99419
15514;97454
80123;99551
96408;107305
4256;76347
7258;77917
146435;40958
100962;150675
10896;67679
90268;120339
52671;76298
146025;73572
142138;120647
145643;32845
111206;77870
52377;111276
112984;111865
153266;93692
77532;150613
55936;54282
76932;28581
73686;71981
40152;143288
119536;90034
19832;107751
83307;125857
57828;103422
62198;105369
116855;152163
6388;147045
79649;59950
138953;35712
33752;73521
130621;141531
62413;76913
142973;34361
98053;85645
19792;102623
92375;105489
79745;106946
108128;22694
143113;59498
96115;76547
127971;65824
4602;34376
111661;107714
12084;34867
152381;76606
74527;92655
10256;65252
59474;18300
24783;103475
32176;95428
71349;76508
7640;76380
41078;32340
115511;106883
115526;151884
34633;60217
4695;68845
