origin;destination
772;627
608;392
761;608
307;713
1045;570
260;626
449;1345
1078;804
320;816
706;1162
504;623
790;1054
846;610
361;990
998;908
981;710
1344;391
177;754
276;1348
160;805
376;27
2;1190
907;725
1052;584
694;137
919;1263
411;810
409;233
687;1132
601;927
807;644
783;35
762;579
993;1316
928;731
935;130
872;923
637;1276
1306;691
906;236
546;162
301;708
1061;1342
1293;737
680;1034
894;562
799;394
647;350
518;91
1019;58
1273;549
350;880
49;493
388;979
1275;1044
690;838
441;612
905;931
1284;67
768;903
893;660
875;608
89;413
83;749
1155;885
781;937
622;70
1281;354
787;1341
1104;163
467;782
861;1239
463;699
88;388
447;1025
558;834
445;491
306;178
1267;489
705;611
165;931
827;902
675;1317
348;1316
215;707
927;322
974;716
370;22
1305;354
988;1006
1132;304
355;490
11;550
143;815
141;938
103;65
178;95
78;22
1334;1121
444;614
451;734
323;771
798;205
475;1061
299;647
440;1206
425;768
465;1063
322;1133
842;41
1276;158
365;499
1023;920
1200;825
671;514
1196;61
174;785
208;658
802;209
1231;50
750;1290
104;1005
442;643
1310;686
1343;827
1195;718
521;803
822;459
1130;152
478;1323
452;1003
852;192
456;617
723;572
728;129
1167;30
844;658
1143;837
25;583
373;801
87;1191
882;150
1038;471
556;98
1238;1316
710;940
69;914
1017;1347
163;90
1160;72
1318;628
1064;1276
719;931
970;763
896;611
125;19
367;619
164;605
973;822
753;715
59;339
923;146
462;855
1053;102
1287;793
1106;515
179;1120
510;895
114;1045
1060;196
458;856
483;618
18;109
1096;1049
701;577
121;1285
157;1258
1345;974
127;1280
380;1348
381;1281
65;339
7;806
252;638
778;606
45;851
492;1076
713;695
562;1163
171;1082
443;624
120;807
511;1237
1144;157
749;1292
1333;477
310;514
336;183
33;90
487;154
681;568
182;1236
1105;802
201;242
345;21
470;1040
1135;614
250;839
188;801
691;18
759;1312
1308;188
683;545
1236;231
527;892
766;386
699;233
654;1044
1007;1164
298;1297
469;700
100;728
876;788
203;927
569;709
1321;585
984;54
94;863
840;438
930;861
881;164
490;31
720;686
32;1056
857;290
229;719
41;592
221;1297
1126;228
29;584
112;648
630;497
190;235
1242;855
600;770
207;95
867;1319
773;495
1050;451
745;1008
729;368
568;424
801;415
156;464
1062;802
378;68
399;229
275;784
268;1102
84;1309
480;1084
343;707
1000;298
1157;152
669;1022
52;1014
390;1287
547;185
1241;153
847;1201
82;374
986;725
1047;142
1006;7
1312;869
533;1010
166;984
148;900
147;221
236;575
314;490
19;260
62;149
1328;189
643;566
371;66
494;426
199;769
189;895
206;95
1316;1176
1033;272
1034;218
68;398
742;439
1028;10
751;10
640;304
211;317
990;1329
145;213
767;1329
721;305
886;712
944;705
912;1334
975;359
649;1279
347;980
1301;852
1190;858
31;733
468;25
359;660
459;712
666;895
961;1109
718;261
369;1313
544;686
945;1010
256;951
570;186
502;714
1163;795
265;10
631;157
21;47
218;365
8;679
1054;289
1025;1336
374;938
429;1089
305;1304
1136;13
1322;766
523;91
48;481
