origin;destination
28640;7400
9950;30331
16911;42907
3156;32773
18905;12208
19238;12762
35396;24670
5340;37215
25148;32686
41237;12289
12839;21388
40880;30443
26934;15109
38885;12262
42460;12549
9500;23128
32473;12108
11178;31915
19369;12428
23771;25101
20602;33332
8814;35267
16962;31971
29137;9172
23745;42879
16339;30332
24493;28457
992;33076
18829;24514
13009;95
32264;39328
20706;25093
36805;30332
34451;24436
9253;42879
25902;31771
40027;25081
15912;35281
32432;36609
16301;32000
8013;30331
36865;30332
15633;12760
44206;12600
18391;32254
6169;12154
41353;35273
6068;33235
32117;2929
12252;14896
39785;32912
43942;7389
39536;33218
10358;30331
8719;32805
21289;22448
6910;12651
852;32929
31775;6833
15219;12466
35951;26117
3528;30427
6346;35209
29454;26142
1657;31879
17688;33227
5935;26355
2499;12636
26290;35292
34032;12398
16636;35422
5712;12415
17317;30421
28608;12194
41470;24052
36203;35199
14256;30457
7031;24059
22920;31914
6404;32084
27929;30331
8370;33118
21508;31396
39191;33099
32133;12459
43927;12295
15415;33077
23108;680
12609;2834
41828;12152
31967;25614
44033;43553
32042;33150
17890;32668
15654;32017
33138;4225
43905;414
34582;4337
14822;33032
19836;33314
6263;32127
29107;31732
5059;12302
23426;30331
37025;30331
16957;35302
31490;15433
38466;31992
34025;32740
27409;26117
1676;43495
19010;32041
32865;24514
37107;30331
41704;32104
21486;31910
9569;24514
13356;12236
17868;32849
18358;12239
15502;7397
5678;33295
23956;32672
12244;3289
41792;31760
14125;30331
1384;32061
15757;31764
24024;12641
5532;12173
12542;20207
18108;12614
6414;31904
15608;12308
19640;32255
20325;12866
25046;12736
16102;32034
12137;19657
36724;30332
26511;12532
24538;646
5114;43627
38455;33081
38432;12199
28271;32170
4733;12682
32928;28346
33002;33307
44696;32895
38949;12378
7275;43556
13272;32164
36582;35267
15951;12347
18485;43558
12618;1659
5107;31925
8437;33034
9869;37472
39675;12684
4825;32178
6841;12692
29867;18573
33809;12301
25739;30460
21702;42786
5961;12245
17276;16666
23107;640
26035;37479
33019;12652
5694;31892
6187;42862
22086;33237
19219;24511
2725;12296
8929;31492
9460;33326
41890;12726
8530;31994
22536;29166
36540;30331
25494;32805
14559;32196
3958;12773
34064;12356
26080;24412
6200;31770
38511;12760
39835;12358
40295;26458
23695;12584
15118;12234
40489;12694
29523;43509
20896;32017
24541;36123
34357;29068
13006;95
13375;7619
30130;30331
1120;27338
15449;33028
22175;31956
41206;12221
40966;31953
16915;31993
5818;37483
12623;38037
3430;34635
35324;6218
24753;31937
14194;29140
34012;7395
13840;30332
3074;42864
35631;30331
10155;32682
24040;12618
11981;22373
21631;12052
33976;12673
39260;33278
38864;31990
5250;23160
20905;35813
39634;34634
16775;12575
6801;27360
2924;33096
15968;42913
40584;27333
38435;33351
23521;12467
610;32680
30494;7212
29528;32780
4498;37475
34889;12340
44856;32769
43793;43560
39940;31923
2964;35222
3009;12488
7443;32777
20201;33114
31824;31976
42102;31903
4844;31888
16300;35268
14545;35198
19812;35323
2217;33055
18362;12596
43635;12300
28762;32685
25232;7619
18929;37477
13946;32447
39914;31880
18891;12396
38010;12573
13010;95
9030;12192
4462;12460
40561;42879
5311;7387
38538;12532
29717;12419
16732;25094
5602;12393
6093;26360
14348;35223
7111;12191
34249;31977
34935;33098
19281;27334
28948;12432
3096;31959
3616;24051
14922;33343
18266;26116
32987;752
40528;33246
29043;12865
12749;21056
8627;12675
40453;12350
19008;12726
27840;12938
39041;12387
6640;12054
44111;43550
21945;30434
31744;43529
30395;22281
28557;31982
33929;32016
5816;43495
28541;27336
37320;31906
