origin;destination
32149;26697
20200;17373
27468;17315
28468;31138
25320;20910
24382;34752
2231;15160
28354;21365
12547;26686
75;7492
28815;115
31825;20309
7017;31540
28419;3061
8062;21435
407;23693
24751;13997
22626;20355
13624;26014
35653;5285
4388;26824
10656;9767
21816;33375
34609;31548
6024;34534
14988;725
2326;22026
7010;15927
32037;11088
38379;31862
3527;35012
12872;29131
8254;38332
8222;22690
12051;10873
5900;27716
18810;34840
18687;28374
12817;38089
27035;35370
21643;21227
36672;32586
6667;12805
14078;11911
15199;22806
39761;32681
20384;16549
4605;15051
10023;2852
35261;1187
25366;23903
22691;29253
31894;33171
27058;12935
16770;33155
1624;8321
18061;13936
4932;10538
18998;17274
27391;15828
22262;11168
22149;30852
5258;25738
17569;6010
31418;11189
17594;22212
29147;30666
10104;14345
20387;24373
19334;14763
22975;36822
33038;34369
38837;1438
9448;32732
6620;9869
12322;15376
34182;7840
25360;13368
3973;21863
6124;39424
36225;16148
3263;12847
38122;25747
23969;37432
6174;28537
32661;33076
39624;6347
38237;27745
9944;38410
8623;15527
35795;25670
7422;1105
31874;10604
32296;23703
3986;3016
5924;23155
16853;30973
9419;14233
10190;30070
24405;20747
3542;23775
30178;21955
20587;27081
34598;38597
38260;39541
39164;5112
12797;7479
32960;13440
14841;21189
21212;30641
18287;10486
2818;27137
37748;12057
7475;17860
33598;37225
1076;12324
35353;29246
23647;13731
1369;9435
37307;39712
22505;8513
22354;26792
19590;33756
20722;25866
7403;14901
27198;7684
8850;27801
33560;30864
29204;30810
26340;9674
18305;9517
35235;38351
39775;7101
31480;15000
27996;20259
14040;20282
3593;28609
13579;18723
3232;31431
8659;21715
16080;39630
4440;24274
35476;10390
3823;9383
5138;15062
9095;7562
1566;29297
579;23138
31204;4288
10358;20722
34296;28699
2958;14176
25292;31422
14509;9829
26355;36341
29528;896
27140;24738
11898;35299
39495;38200
9239;34489
33205;22699
29400;10356
34067;1460
38175;1781
4370;33907
33944;38081
20149;39532
13578;17122
29944;9552
13611;25933
7736;3027
10948;18723
19580;9411
8855;27010
8946;14379
28425;26873
10322;31862
18741;8106
35933;38552
4748;37588
13550;606
18162;1284
671;15307
35463;31780
9705;2436
4643;32722
29285;38776
39226;1014
31169;7116
19944;30954
10269;34402
32383;8258
9727;16094
1027;1970
21382;2960
14561;8581
37143;39365
26141;28582
310;6556
15580;32130
11903;30661
19187;21835
23230;28704
23904;7540
8628;31136
14995;6866
5317;19878
9861;34183
3857;10681
33367;20781
29265;33245
37694;10357
31902;9000
401;36648
27644;9930
11876;11113
13627;28018
11382;9552
1199;30877
5959;34016
9771;24881
10694;382
33418;9907
34909;12179
8303;37604
15763;10775
13176;8231
9390;14377
36154;14889
8788;14473
7703;38784
19341;3642
26870;3236
3850;32816
19858;32387
37372;22486
7891;13400
4166;1619
8376;10706
39418;35716
12900;28559
8916;23526
6498;19685
6046;26018
10075;39330
21504;9239
24095;24332
31175;7600
24269;39550
17220;30994
34825;14557
28050;13429
28681;15374
3091;7201
20248;30168
33041;26722
21005;31999
1133;26832
12150;17225
20736;10839
701;28919
38920;7536
36173;8141
19726;17460
24400;21208
20700;23895
34659;11351
23493;11337
18757;36554
31402;6531
20325;23161
28271;2970
27385;10533
22945;11130
15601;32567
23609;39048
13628;941
18823;1563
32404;7764
36808;9891
27587;19611
5519;13778
26536;36837
14974;748
32709;29347
38703;8072
32780;32266
13230;9195
18507;23671
6322;3125
37647;27127
3558;11523
9477;13546
34534;5226
8392;10809
15124;39694
12918;7995
22896;12757
28151;12516
12952;2080
7713;13827
32596;25782
29717;24787
14199;11475
32340;11603
7887;13815
5414;27323
9144;30215
20998;9471
11521;38543
15048;34777
25134;33979
27919;39196
28981;10114
16733;6369
33382;30437
10583;30520
7687;19476
11983;13888
3907;10684
30638;37520
13157;23055
7057;39550
19594;1963
21007;29397
1062;10215
15465;6573
13916;13716
30609;21592
557;14168
15578;25774
18261;39335
26991;6468
11336;706
38121;35471
29696;6801
32229;37433
35809;14821
25653;28651
1803;8675
7744;3004
23101;25754
9664;17122
7633;32066
18965;18718
22654;15500
8577;10557
21892;12508
17232;14836
16920;28865
16773;30508
4971;9421
36207;24265
17003;27602
2241;8804
35221;17639
27399;28385
22447;38479
11754;35855
15697;1453
18834;7191
11758;23586
11233;34797
35344;1581
3310;32019
15175;17149
31651;7588
19806;20026
33470;39699
15368;5149
27660;9232
39091;21438
25994;34484
31681;10655
28757;13446
39006;9441
39109;4268
32403;26643
14300;13717
17753;16892
