file;nb path;Dijkstra TIME;Dijkstra LENGTH;A* TIME;A* LENGTH
new-caledonia_192524_385049.csv;367;6.011;5.0429;6.0654;4.0683
haute-garonne_72151_96202.csv;395;38.0522;30.0327;40.0801;14.017
bordeaux_6807_9076.csv;385;2.078;2.0348;2.0949;0.0892
haute-garonne_24050_48101.csv;395;28.0718;22.0336;32.0188;6.0965
new-caledonia_385049_577574.csv;302;6.0908;6.017;7.0214;6.0523
insa_1640_2187.csv;339;0.0143;0.0111;0.0153;0.0082
bordeaux_2269_4538.csv;385;1.0505;1.0205;1.0852;0.039
insa_546_1093.csv;340;0.0032;0.0016;0.0034;0.002
insa_1093_1640.csv;339;0.0065;0.0053;0.0085;0.0023
haute-garonne_48101_72151.csv;395;42.0898;33.0601;46.0447;13.0848
bordeaux_4538_6807.csv;385;2.0544;2.0105;2.0796;0.0608
new-caledonia_577574_770099.csv;0;0.0;0.0;0.0;0.0
